name,our_pv,scgen_pv,diff
DACT1,3.41E-87,1.34E-41,-1.34E-41
NLRP2,2.22E-71,1.34E-41,-1.34E-41
TTC28,4.94E-96,2.12E-41,-2.12E-41
VPS28,4.66E-42,2.83E-41,-2.36E-41
CARF,3.65E-89,2.40E-41,-2.40E-41
FCGR3A,1.73E-74,2.40E-41,-2.40E-41
CLDND1,6.32E-40,6.60E-40,-2.84E-41
CWC15,6.32E-40,6.72E-40,-3.99E-41
ABHD14A,2.60E-91,4.03E-41,-4.03E-41
CXCR3,2.38E-75,4.22E-41,-4.22E-41
PFDN2,6.32E-40,6.75E-40,-4.37E-41
ZBTB22,4.62E-97,4.37E-41,-4.37E-41
FKBP11,6.32E-40,6.79E-40,-4.73E-41
SRRM1,6.32E-40,6.79E-40,-4.73E-41
N4BP2L2,6.32E-40,6.82E-40,-5.04E-41
P2RY10,6.32E-40,6.82E-40,-5.04E-41
THRAP3,6.32E-40,6.82E-40,-5.04E-41
CNIH1,6.32E-40,6.82E-40,-5.04E-41
SNRPE,6.32E-40,6.82E-40,-5.04E-41
TOMM22,6.32E-40,6.82E-40,-5.04E-41
ATP5C1,6.32E-40,6.82E-40,-5.04E-41
C3orf52,2.96E-101,5.10E-41,-5.10E-41
CLIC5,4.58E-100,5.10E-41,-5.10E-41
RP11-218M22.1,2.10E-62,5.10E-41,-5.10E-41
CD40LG,3.39E-91,7.84E-41,-7.84E-41
PPP5C,2.58E-96,8.16E-41,-8.16E-41
HOPX,5.45E-95,8.16E-41,-8.16E-41
SYT11,2.19E-99,9.13E-41,-9.13E-41
RASL11A,4.63E-102,1.09E-40,-1.09E-40
KLHL23,4.63E-102,1.09E-40,-1.09E-40
BRPF3,3.61E-99,1.09E-40,-1.09E-40
STXBP4,1.42E-84,1.09E-40,-1.09E-40
LSMEM1,2.44E-81,1.09E-40,-1.09E-40
SRP19,2.43E-41,1.44E-40,-1.20E-40
ACP1,2.43E-41,1.44E-40,-1.20E-40
POLE4,4.66E-42,1.55E-40,-1.51E-40
RP11-429E11.3,2.33E-100,1.92E-40,-1.92E-40
RP11-418J17.1,1.70E-90,1.92E-40,-1.92E-40
SPATS2L,3.15E-39,3.40E-39,-2.49E-40
DUS4L,2.85E-95,3.12E-40,-3.12E-40
PADI4,2.96E-101,4.07E-40,-4.07E-40
HIST1H2AG,3.57E-90,4.07E-40,-4.07E-40
KLF2,1.25E-40,6.86E-40,-5.61E-40
